sexo;fono;edad;hijos;Garante;Aval;meses;renta;morosidad
Masculino;No;66;0;Si;Si;36;Fija;No
Masculino;Si;69;5;Si;Si;36;Fija;Si
Masculino;No;73;5;Si;Si;36;Fija;Si
Masculino;No;53;2;No;Si;35;Fija;No
Masculino;Si;53;1;Si;Si;35;Fija;No
Masculino;No;54;4;Si;No;35;Fija;Si
Masculino;No;54;3;Si;Si;35;Fija;No
Masculino;Si;54;2;Si;No;35;Fija;No
Femenino;No;55;2;Si;Si;35;Fija;No
Masculino;No;56;0;Si;No;35;Fija;No
Femenino;No;59;0;No;Si;35;Fija;No
Masculino;Si;61;0;Si;Si;35;Fija;No
Femenino;No;62;0;No;Si;35;Fija;No
Masculino;Si;63;4;No;No;35;Fija;Si
Femenino;No;63;2;No;Si;35;Fija;No
Masculino;Si;63;1;Si;Si;35;Fija;No
Masculino;Si;63;1;Si;Si;35;Fija;No
Masculino;No;64;5;No;Si;35;Fija;Si
Masculino;Si;65;5;Si;Si;35;Fija;Si
Femenino;Si;66;2;Si;Si;35;Fija;No
Masculino;Si;67;1;Si;Si;35;Fija;No
Masculino;Si;69;5;No;Si;35;Fija;Si
Masculino;Si;53;2;Si;Si;34;Fija;Si
Femenino;No;54;2;No;Si;34;Fija;No
Masculino;Si;55;5;Si;Si;34;Fija;Si
Masculino;Si;55;2;No;Si;34;Fija;No
Femenino;No;56;2;Si;Si;34;Fija;No
Masculino;Si;58;1;No;Si;34;Fija;No
Femenino;No;58;1;No;Si;34;Fija;No
Masculino;Si;58;0;No;No;34;Fija;No
Masculino;Si;59;1;Si;Si;34;Fija;Si
Masculino;Si;60;1;Si;Si;34;Fija;No
Masculino;No;69;0;Si;Si;34;Variable;No
Femenino;Si;30;5;Si;Si;33;Fija;Si
Femenino;Si;34;4;Si;Si;33;Fija;Si
Masculino;Si;38;2;Si;Si;33;Fija;No
Femenino;Si;42;3;Si;Si;33;Fija;No
Femenino;Si;43;5;Si;Si;33;Fija;Si
Masculino;No;44;5;Si;Si;33;Fija;Si
Femenino;No;44;2;Si;No;33;Fija;No
Femenino;Si;45;2;Si;Si;33;Fija;No
Masculino;No;45;2;Si;Si;33;Fija;No
Masculino;Si;45;1;Si;Si;33;Fija;No
Femenino;Si;45;0;Si;Si;33;Fija;No
Femenino;No;46;5;Si;Si;33;Fija;Si
Femenino;Si;47;5;No;No;33;Fija;Si
Masculino;No;47;1;No;No;33;Fija;No
Femenino;Si;48;3;Si;Si;33;Fija;No
Femenino;Si;48;1;Si;Si;33;Fija;Si
Femenino;No;48;0;Si;Si;33;Fija;No
Femenino;Si;49;5;Si;Si;33;Fija;Si
Femenino;Si;49;5;Si;Si;33;Fija;Si
Femenino;Si;49;3;Si;Si;33;Fija;No
Masculino;Si;49;3;Si;Si;33;Fija;No
Masculino;Si;50;3;Si;Si;33;Fija;No
Masculino;No;50;2;No;Si;33;Fija;No
Femenino;Si;50;1;Si;Si;33;Fija;No
Masculino;Si;50;1;Si;No;33;Fija;No
Masculino;No;50;0;Si;Si;33;Fija;No
Femenino;Si;50;0;Si;Si;33;Fija;No
Masculino;Si;51;4;Si;Si;33;Fija;Si
Femenino;Si;51;4;Si;Si;33;Fija;Si
Masculino;No;51;2;Si;Si;33;Fija;No
Masculino;No;51;2;Si;Si;33;Fija;Si
Masculino;No;51;1;Si;Si;33;Fija;No
Femenino;Si;51;0;Si;Si;33;Fija;No
Masculino;Si;51;0;Si;Si;33;Fija;No
Masculino;Si;52;4;Si;No;33;Fija;No
Masculino;No;52;3;Si;No;33;Fija;No
Masculino;Si;52;2;Si;Si;33;Fija;Si
Femenino;Si;52;1;No;No;33;Fija;No
Femenino;Si;52;1;No;Si;33;Fija;No
Femenino;Si;52;1;Si;Si;33;Fija;Si
Femenino;Si;52;0;Si;Si;33;Fija;No
Masculino;Si;52;0;No;Si;33;Fija;No
Femenino;Si;52;0;Si;Si;33;Fija;No
Masculino;Si;52;0;No;Si;33;Fija;No
Femenino;Si;53;5;Si;Si;33;Fija;Si
Femenino;Si;53;5;No;No;33;Fija;Si
Femenino;Si;53;3;Si;Si;33;Fija;No
Femenino;No;53;3;No;Si;33;Fija;No
Masculino;Si;53;2;Si;Si;33;Fija;No
Femenino;Si;53;0;Si;Si;33;Fija;No
Masculino;No;53;0;Si;Si;33;Fija;No
Masculino;Si;53;0;Si;Si;33;Fija;No
Femenino;No;54;4;Si;No;33;Fija;Si
Femenino;Si;54;2;Si;Si;33;Fija;No
Femenino;Si;54;1;Si;Si;33;Fija;No
Masculino;Si;54;1;Si;Si;33;Fija;No
Femenino;Si;54;0;Si;Si;33;Fija;No
Masculino;No;54;0;Si;Si;33;Fija;No
Masculino;Si;54;0;Si;Si;33;Fija;No
Femenino;Si;55;5;Si;Si;33;Fija;Si
Masculino;No;55;5;Si;Si;33;Fija;Si
Masculino;Si;55;4;Si;Si;33;Fija;No
Femenino;Si;55;3;Si;Si;33;Fija;No
Femenino;Si;55;3;No;Si;33;Fija;No
Masculino;Si;55;2;Si;Si;33;Fija;No
Femenino;No;55;2;No;Si;33;Fija;Si
Masculino;Si;55;2;No;Si;33;Fija;No
Femenino;Si;55;2;No;Si;33;Fija;No
Femenino;Si;55;0;Si;Si;33;Fija;No
Masculino;Si;55;0;Si;Si;33;Fija;No
Masculino;No;56;3;No;Si;33;Fija;No
Masculino;Si;56;2;Si;No;33;Fija;No
Femenino;Si;56;2;Si;No;33;Fija;No
Masculino;Si;56;2;No;Si;33;Fija;No
Femenino;No;56;2;Si;Si;33;Variable;No
Femenino;Si;56;1;Si;No;33;Fija;No
Masculino;No;56;1;Si;Si;33;Fija;Si
Femenino;No;56;1;Si;Si;33;Fija;No
Femenino;Si;56;0;Si;Si;33;Fija;No
Masculino;Si;56;0;Si;No;33;Fija;No
Femenino;Si;56;0;No;No;33;Fija;No
Masculino;Si;56;0;Si;No;33;Fija;No
Femenino;Si;56;0;Si;No;33;Fija;No
Masculino;No;56;0;Si;Si;33;Fija;No
Masculino;Si;57;5;No;Si;33;Fija;No
Femenino;Si;57;5;Si;Si;33;Fija;Si
Masculino;Si;57;4;Si;Si;33;Fija;Si
Masculino;No;57;4;Si;No;33;Fija;Si
Femenino;Si;57;4;No;Si;33;Fija;Si
Femenino;Si;57;3;Si;Si;33;Fija;No
Femenino;Si;57;3;No;Si;33;Fija;No
Masculino;Si;57;2;Si;Si;33;Fija;No
Masculino;Si;57;2;Si;Si;33;Fija;Si
Masculino;Si;57;2;No;Si;33;Fija;No
Masculino;Si;57;2;Si;Si;33;Fija;No
Masculino;Si;57;2;Si;Si;33;Fija;No
Femenino;Si;57;1;Si;Si;33;Fija;No
Masculino;No;57;1;Si;Si;33;Fija;Si
Masculino;No;57;1;Si;Si;33;Fija;No
Femenino;Si;57;1;No;No;33;Fija;No
Femenino;No;57;1;Si;Si;33;Fija;Si
Femenino;Si;57;0;Si;Si;33;Fija;No
Femenino;Si;57;0;Si;Si;33;Fija;No
Femenino;Si;57;0;Si;Si;33;Fija;No
Femenino;Si;57;0;Si;Si;33;Fija;No
Femenino;Si;57;0;No;No;33;Fija;No
Masculino;Si;57;0;Si;Si;33;Fija;No
Masculino;Si;57;0;Si;Si;33;Fija;No
Femenino;No;57;0;Si;Si;33;Fija;No
Masculino;Si;58;5;Si;Si;33;Fija;Si
Masculino;Si;58;5;Si;Si;33;Fija;Si
Femenino;No;58;4;Si;Si;33;Fija;Si
Femenino;Si;58;4;Si;Si;33;Fija;Si
Masculino;Si;58;3;Si;Si;33;Fija;No
Femenino;Si;58;2;No;Si;33;Fija;Si
Masculino;Si;58;1;Si;Si;33;Fija;No
Masculino;Si;58;1;Si;Si;33;Fija;No
Masculino;Si;58;1;No;Si;33;Fija;No
Femenino;Si;58;1;Si;Si;33;Fija;No
Masculino;Si;58;1;No;No;33;Fija;No
Masculino;No;58;1;Si;Si;33;Fija;No
Masculino;Si;58;1;Si;Si;33;Fija;No
Femenino;Si;58;0;No;Si;33;Fija;No
Masculino;Si;58;0;Si;Si;33;Fija;No
Femenino;Si;58;0;Si;Si;33;Fija;No
Masculino;Si;58;0;Si;Si;33;Fija;No
Femenino;Si;59;5;Si;Si;33;Fija;Si
Femenino;Si;59;5;No;Si;33;Fija;Si
Femenino;Si;59;4;Si;Si;33;Fija;Si
Masculino;Si;59;3;Si;No;33;Fija;No
Masculino;Si;59;2;No;No;33;Fija;No
Masculino;Si;59;2;No;Si;33;Fija;No
Masculino;No;59;1;No;No;33;Fija;No
Masculino;No;59;1;Si;Si;33;Fija;No
Masculino;Si;59;1;Si;Si;33;Fija;No
Femenino;Si;59;1;Si;Si;33;Fija;Si
Masculino;Si;59;1;No;No;33;Fija;No
Femenino;Si;59;1;Si;Si;33;Fija;No
Masculino;Si;59;0;Si;Si;33;Fija;No
Femenino;Si;59;0;Si;Si;33;Fija;No
Femenino;Si;59;0;No;Si;33;Fija;No
Femenino;Si;59;0;Si;Si;33;Fija;No
Femenino;No;59;0;Si;Si;33;Fija;No
Femenino;Si;59;0;Si;Si;33;Fija;No
Masculino;Si;59;0;Si;Si;33;Fija;No
Masculino;Si;60;5;Si;Si;33;Fija;Si
Femenino;Si;60;5;Si;Si;33;Fija;Si
Masculino;No;60;5;Si;Si;33;Fija;Si
Femenino;Si;60;3;Si;Si;33;Fija;No
Masculino;Si;60;2;Si;Si;33;Fija;No
Masculino;No;60;2;Si;Si;33;Fija;No
Masculino;Si;60;2;Si;Si;33;Fija;No
Masculino;Si;60;2;Si;Si;33;Fija;Si
Masculino;Si;60;2;Si;Si;33;Fija;No
Femenino;Si;60;1;Si;Si;33;Fija;No
Masculino;Si;60;1;Si;Si;33;Fija;No
Masculino;Si;60;1;Si;Si;33;Fija;No
Masculino;No;60;1;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;No;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Femenino;Si;60;0;Si;Si;33;Fija;No
Femenino;Si;60;0;No;No;33;Fija;No
Femenino;No;60;0;Si;Si;33;Fija;No
Femenino;Si;60;0;No;No;33;Fija;No
Masculino;No;60;0;Si;Si;33;Fija;No
Masculino;Si;60;0;Si;Si;33;Fija;No
Masculino;No;61;5;Si;Si;33;Fija;Si
Femenino;Si;61;4;Si;Si;33;Fija;Si
Femenino;Si;61;4;No;Si;33;Fija;No
Masculino;Si;61;3;Si;Si;33;Fija;No
Femenino;Si;61;2;Si;Si;33;Fija;No
Femenino;Si;61;1;Si;Si;33;Fija;No
Masculino;Si;61;1;Si;Si;33;Fija;No
Masculino;Si;61;1;Si;Si;33;Fija;No
Masculino;Si;61;1;No;Si;33;Fija;No
Masculino;Si;61;1;Si;Si;33;Fija;Si
Masculino;Si;61;1;Si;Si;33;Fija;No
Masculino;No;61;1;Si;Si;33;Fija;No
Masculino;No;61;1;Si;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;No;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Masculino;No;61;0;No;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Masculino;No;61;0;Si;Si;33;Fija;No
Masculino;No;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;Si;Si;33;Fija;No
Masculino;No;61;0;Si;Si;33;Fija;No
Femenino;Si;61;0;No;Si;33;Fija;No
Femenino;No;61;0;No;Si;33;Fija;No
Masculino;Si;61;0;Si;Si;33;Fija;No
Femenino;No;61;0;No;Si;33;Variable;No
Femenino;No;62;5;Si;No;33;Fija;Si
Femenino;No;62;5;Si;Si;33;Fija;Si
Masculino;Si;62;4;Si;Si;33;Fija;No
Masculino;Si;62;2;Si;No;33;Fija;No
Femenino;Si;62;2;Si;Si;33;Fija;No
Masculino;Si;62;2;Si;Si;33;Fija;No
Masculino;Si;62;2;Si;Si;33;Fija;No
Masculino;Si;62;1;No;Si;33;Fija;Si
Masculino;Si;62;1;No;Si;33;Fija;No
Femenino;Si;62;1;Si;Si;33;Fija;Si
Masculino;Si;62;0;No;Si;33;Fija;No
Femenino;Si;62;0;Si;Si;33;Fija;No
Femenino;Si;62;0;Si;Si;33;Fija;No
Femenino;No;62;0;Si;Si;33;Fija;No
Masculino;Si;63;5;Si;Si;33;Fija;Si
Femenino;Si;63;5;Si;Si;33;Fija;Si
Masculino;Si;63;3;Si;Si;33;Fija;No
Masculino;Si;63;2;No;Si;33;Fija;No
Femenino;Si;63;1;Si;Si;33;Fija;No
Masculino;Si;63;1;No;Si;33;Fija;No
Femenino;Si;63;1;No;Si;33;Fija;Si
Masculino;No;63;1;Si;Si;33;Fija;Si
Masculino;Si;63;0;Si;No;33;Fija;No
Masculino;No;63;0;Si;Si;33;Fija;No
Femenino;No;63;0;Si;Si;33;Fija;No
Masculino;Si;63;0;Si;Si;33;Fija;No
Masculino;No;63;0;Si;Si;33;Fija;No
Masculino;Si;63;0;Si;Si;33;Fija;No
Masculino;Si;63;0;Si;Si;33;Fija;No
Femenino;Si;63;0;No;Si;33;Fija;No
Femenino;Si;64;5;Si;Si;33;Fija;Si
Masculino;No;64;5;Si;Si;33;Fija;Si
Masculino;No;64;5;Si;Si;33;Fija;Si
Femenino;No;64;5;Si;Si;33;Fija;Si
Masculino;No;64;4;Si;Si;33;Fija;Si
Masculino;Si;64;2;Si;Si;33;Fija;No
Masculino;Si;64;2;Si;Si;33;Fija;No
Masculino;Si;64;2;Si;Si;33;Fija;No
Masculino;No;64;2;Si;Si;33;Fija;Si
Masculino;Si;64;1;Si;Si;33;Fija;No
Femenino;No;64;0;Si;Si;33;Fija;No
Masculino;No;64;0;Si;Si;33;Fija;No
Masculino;Si;64;0;No;Si;33;Fija;No
Masculino;No;64;0;Si;Si;33;Fija;No
Masculino;No;64;0;No;Si;33;Fija;No
Masculino;Si;64;0;Si;No;33;Fija;No
Femenino;Si;65;5;Si;Si;33;Fija;Si
Masculino;Si;65;5;Si;Si;33;Fija;No
Masculino;Si;65;5;Si;Si;33;Fija;Si
Masculino;No;65;4;Si;Si;33;Fija;Si
Femenino;Si;65;2;No;No;33;Fija;No
Femenino;Si;65;2;Si;Si;33;Fija;No
Masculino;Si;65;2;Si;Si;33;Fija;No
Femenino;Si;65;1;Si;Si;33;Fija;No
Masculino;Si;65;1;Si;Si;33;Fija;Si
Masculino;Si;65;0;Si;Si;33;Fija;No
Masculino;Si;65;0;Si;Si;33;Fija;No
Femenino;No;65;0;Si;Si;33;Fija;No
Femenino;Si;65;0;Si;Si;33;Fija;No
Masculino;Si;65;0;Si;Si;33;Fija;No
Masculino;Si;65;0;Si;Si;33;Fija;No
Femenino;No;65;0;Si;Si;33;Fija;No
Masculino;Si;65;0;Si;Si;33;Fija;No
Masculino;No;65;0;Si;Si;33;Fija;No
Femenino;Si;66;5;Si;Si;33;Fija;Si
Femenino;Si;66;5;Si;Si;33;Fija;Si
Femenino;Si;66;5;Si;Si;33;Fija;Si
Femenino;Si;66;5;Si;Si;33;Fija;Si
Femenino;Si;66;4;Si;No;33;Fija;Si
Masculino;Si;66;3;Si;Si;33;Fija;No
Femenino;Si;66;2;No;Si;33;Fija;Si
Masculino;No;66;2;Si;Si;33;Fija;No
Masculino;Si;66;2;Si;Si;33;Fija;Si
Masculino;Si;66;2;Si;Si;33;Fija;No
Masculino;No;66;1;Si;Si;33;Fija;No
Masculino;Si;66;1;Si;Si;33;Fija;No
Masculino;Si;66;1;Si;Si;33;Fija;No
Masculino;No;66;1;Si;Si;33;Fija;No
Femenino;Si;66;0;Si;Si;33;Fija;No
Masculino;No;66;0;Si;Si;33;Fija;No
Masculino;Si;66;0;No;Si;33;Fija;No
Femenino;Si;66;0;Si;Si;33;Fija;No
Masculino;Si;66;0;Si;Si;33;Fija;No
Masculino;Si;67;5;No;No;33;Fija;Si
Femenino;Si;67;5;Si;Si;33;Fija;Si
Masculino;No;67;4;Si;Si;33;Fija;Si
Masculino;Si;67;3;Si;No;33;Fija;No
Masculino;Si;67;3;Si;Si;33;Fija;No
Masculino;Si;67;2;Si;No;33;Fija;No
Masculino;No;67;2;Si;Si;33;Fija;No
Masculino;No;67;1;Si;Si;33;Fija;Si
Masculino;Si;67;1;Si;Si;33;Fija;No
Masculino;Si;67;0;Si;Si;33;Fija;No
Femenino;Si;67;0;No;No;33;Fija;No
Masculino;Si;67;0;Si;Si;33;Fija;No
Femenino;Si;67;0;Si;Si;33;Fija;No
Femenino;Si;67;0;Si;Si;33;Fija;No
Masculino;Si;68;4;Si;Si;33;Fija;Si
Masculino;No;68;4;No;Si;33;Fija;Si
Masculino;Si;68;2;Si;Si;33;Fija;No
Masculino;Si;68;2;Si;Si;33;Fija;No
Masculino;Si;68;1;No;Si;33;Fija;No
Masculino;Si;68;1;Si;Si;33;Fija;No
Femenino;Si;68;1;No;Si;33;Fija;No
Masculino;Si;68;1;Si;Si;33;Fija;No
Masculino;Si;68;1;No;Si;33;Fija;No
Femenino;Si;68;0;Si;Si;33;Fija;No
Masculino;Si;68;0;No;Si;33;Fija;No
Femenino;Si;68;0;Si;No;33;Fija;No
Femenino;Si;68;0;Si;Si;33;Fija;No
Masculino;Si;68;0;Si;Si;33;Fija;No
Masculino;No;68;0;Si;Si;33;Fija;No
Masculino;No;68;0;Si;Si;33;Fija;No
Masculino;Si;68;0;Si;Si;33;Fija;No
Masculino;Si;68;0;Si;Si;33;Fija;No
Masculino;Si;68;0;No;Si;33;Fija;No
Masculino;Si;69;5;Si;Si;33;Fija;No
Masculino;Si;69;5;No;No;33;Fija;Si
Femenino;Si;69;5;Si;Si;33;Fija;Si
Masculino;Si;69;5;No;Si;33;Fija;Si
Masculino;No;69;5;Si;Si;33;Fija;Si
Masculino;No;69;3;Si;Si;33;Fija;No
Masculino;Si;69;2;No;No;33;Fija;No
Femenino;No;69;2;No;Si;33;Fija;No
Masculino;Si;69;1;No;No;33;Fija;No
Femenino;Si;69;1;No;No;33;Fija;No
Masculino;Si;69;1;No;Si;33;Fija;No
Masculino;Si;69;1;Si;Si;33;Fija;No
Masculino;Si;69;1;Si;Si;33;Fija;No
Masculino;No;69;1;Si;Si;33;Fija;No
Femenino;No;69;1;Si;Si;33;Fija;No
Femenino;Si;69;1;Si;No;33;Fija;No
Masculino;Si;69;0;Si;Si;33;Fija;No
Masculino;Si;69;0;Si;No;33;Fija;No
Femenino;Si;69;0;No;No;33;Fija;No
Femenino;No;69;0;Si;No;33;Fija;No
Femenino;Si;69;0;No;Si;33;Fija;No
Masculino;Si;69;0;Si;Si;33;Fija;No
Masculino;No;69;0;Si;Si;33;Fija;No
Masculino;Si;69;0;No;Si;33;Fija;No
Femenino;Si;69;0;Si;Si;33;Fija;No
Masculino;Si;69;0;Si;Si;33;Fija;No
Masculino;Si;69;0;Si;Si;33;Fija;No
Femenino;No;69;0;Si;Si;33;Fija;No
Masculino;Si;69;0;Si;Si;33;Fija;No
Masculino;Si;71;5;No;Si;33;Fija;Si
Masculino;No;71;5;Si;Si;33;Fija;Si
Masculino;Si;71;4;No;No;33;Fija;Si
Masculino;No;71;4;Si;Si;33;Fija;Si
Masculino;Si;72;5;No;Si;33;Fija;Si
Masculino;Si;72;5;Si;Si;33;Fija;Si
Masculino;No;72;5;Si;Si;33;Fija;Si
Masculino;No;72;5;Si;Si;33;Fija;Si
Masculino;Si;72;4;No;Si;33;Fija;Si
Femenino;Si;73;5;Si;Si;33;Fija;Si
Femenino;Si;73;5;Si;No;33;Fija;Si
Femenino;Si;73;5;Si;Si;33;Fija;Si
Masculino;Si;73;2;Si;Si;33;Fija;No
Masculino;Si;73;1;Si;Si;33;Fija;No
Masculino;No;73;1;Si;Si;33;Fija;No
Masculino;Si;73;0;No;No;33;Fija;No
Masculino;Si;73;0;Si;Si;33;Fija;No
Masculino;No;73;0;Si;Si;33;Fija;No
Femenino;Si;73;0;Si;Si;33;Fija;No
Masculino;Si;73;0;Si;No;33;Fija;No
Masculino;Si;73;0;Si;Si;33;Fija;No
Femenino;Si;73;0;Si;Si;33;Fija;No
Femenino;Si;73;0;Si;Si;33;Fija;No
Femenino;Si;73;0;Si;Si;33;Fija;No
Masculino;Si;73;0;Si;Si;33;Fija;No
Masculino;Si;73;0;Si;Si;33;Fija;No
Femenino;Si;73;0;Si;Si;33;Fija;No
Femenino;Si;74;5;Si;No;33;Fija;Si
Masculino;No;74;5;Si;Si;33;Fija;Si
Masculino;No;74;4;No;No;33;Fija;Si
Masculino;No;74;3;Si;Si;33;Fija;No
Masculino;No;74;1;Si;Si;33;Fija;Si
Masculino;Si;74;1;Si;Si;33;Fija;No
Masculino;Si;74;1;No;Si;33;Fija;No
Femenino;Si;74;0;Si;Si;33;Fija;No
Femenino;Si;74;0;Si;Si;33;Fija;No
Masculino;Si;74;0;Si;No;33;Fija;No
Femenino;No;74;0;No;No;33;Fija;No
Femenino;Si;74;0;No;No;33;Fija;No
Masculino;Si;74;0;Si;Si;33;Fija;No
Masculino;Si;74;0;Si;Si;33;Fija;No
Femenino;Si;74;0;Si;Si;33;Fija;No
Femenino;Si;74;0;Si;Si;33;Fija;No
Masculino;Si;74;0;Si;Si;33;Fija;No
Femenino;Si;74;0;Si;Si;33;Fija;No
