Codigo;Cap_endeudamiento;Tiempo_laboral;Prestamo;N_cuotas;Interes;Ingreso;Sexo;Estado_civil;Estado_SBS;Nivel_Educacion;Promocion;Mora
PER20ISP657342107;1,217.25;12;500;1;23.05;2587.125;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP340682904;647.36;31;6,100;12;1,625.51;2287.775;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP464014250;561.25;18;1,500;6;221.53;3559.436667;Masculino;Soltero;CPP;Universitaria;No;No
PER20ISP455996038;1,052;10;2,500;6;344.9;3634.5;Femenino;Soltero;CPP;Universitaria;Si;No
PER20ISP712176971;444.31;42;2,200;6;304.46;2515.24;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP396489881;987.36;9;3,000;6;429.99;4233.723333;Femenino;Soltero;CPP;Universitaria;Si;No
PER20ISP923459784;515.66;21;1,500;6;221.53;2062.655;Femenino;Soltero;NORMAL;Técnica;No;Si
PER20ISP818562682;513.41;79;1,000;3;88.14;2167.398333;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP602367721;480.49;14;1,000;3;91.9;1921.955;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP134837154;306.08;18;1,500;6;221.53;5043.683333;Femenino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP811330785;1,304.38;73;3,000;6;429.8;5707.585;Masculino;Divorciado;NORMAL;Universitaria;Si;No
PER20ISP079191845;436.01;6;4,000;12;1,109.56;1453.375;Femenino;Soltero;DEFICIENTE;Universitaria;No;Si
PER20ISP882390342;319.15;;1,600;6;234.4;2966.245;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP410943880;784;1;3,000;6;429.99;0;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP925802765;425.77;38;1,000;3;88.23;2846.666667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP115905743;441.92;10;1,500;6;221.53;2029.043333;Femenino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP960869169;336.95;10;1,700;6;318.91;1535.625;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP841630114;416.77;25;1,000;3;88.99;2609.04;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP830935798;525.87;30;4,800;12;1,472.29;1947.75;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP131805783;550.45;52;1,500;6;221.53;2201.791667;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP798953167;613.43;12;2,500;6;344.9;2750;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP713266795;552.25;17;2,500;6;360.78;3278.666667;Masculino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP027031144;366.19;71;1,800;6;337.67;1464.75;Femenino;Casado;NORMAL;Universitaria;No;Si
PER20ISP531952430;490.97;51;2,400;6;346.12;2682.955;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP424056447;517.98;9;1,300;3;114.11;2763.81;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP268842013;401.44;26;1,000;3;88.14;2133.005;Femenino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP443407620;823.22;21;1,000;6;152.25;3487.896667;Masculino;Casado;NORMAL;Técnica;Si;No
PER20ISP148124698;846.72;27;5,000;12;1,515.20;3460.141667;Femenino;Divorciado;NORMAL;Técnica;No;Si
PER20ISP978124434;436.16;15;1,500;6;281.39;1575;Femenino;Soltero;CPP;Universitaria;Si;No
PER20ISP934610919;416.99;74;1,700;6;249.22;3659.408333;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP223526171;643.8;62;1,500;3;130.42;2616.856667;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP303980002;473.59;68;1,500;6;221.53;2308.88;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP742056303;415.59;8;2,000;10;528.3;1575;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP631197509;223.7;32;2,000;12;573.97;1750;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP912557479;588.78;7;1,500;6;221.53;2534;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP811662856;361.3;8;3,300;12;915.39;1287.125;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP585987327;697.01;76;1,500;6;221.53;2788.041667;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP643941873;348.97;53;1,700;6;318.91;2143.166667;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP608810784;317.61;77;1,600;6;223.6;2924.44;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP489428964;253.51;15;500;4;84.33;1190.875;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP766323721;689.78;47;2,500;6;360.78;2759.12;Masculino;Soltero;NORMAL;Técnica;No;Si
PER20ISP409926989;543.31;11;2,500;6;360.78;3077.265;Femenino;Soltero;NORMAL;Técnica;No;Si
PER20ISP420348209;340;;500;2;34.87;3600;Femenino;Casado;NORMAL;Técnica;No;No
PER20ISP285699058;1,024.48;68;6,000;7;889.5;3990.333333;Femenino;Soltero;NORMAL;Postgrado;No;No
PER20ISP884215049;414;16;1,000;3;84.99;2014.191667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP591762125;329.69;5;1,500;6;221.53;1607.375;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP325232904;214.91;;1,000;6;184.53;2209.608333;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP862281485;732.22;17;3,000;6;525.83;3759.041667;Femenino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP925058401;343.11;;1,700;6;249.05;1379.875;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP588505624;1,634.30;54;5,000;12;1,515.20;6051.041667;Masculino;Soltero;CPP;Técnica;No;No
PER20ISP054695945;230.82;75;1,100;6;166.16;2652.031667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP515492335;601.73;2;2,000;6;290.75;2615.293333;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP107731703;360.33;25;2,000;12;632.87;1264.375;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP404270995;267.84;55;1,000;6;240.92;1386.875;Femenino;Casado;NORMAL;Técnica;Si;No
PER20ISP066361243;951.16;3;6,000;12;1,598.86;3707.09;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP266833211;503.93;66;1,300;3;102.63;3202.518333;Femenino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP439654625;1,065.37;49;3,000;6;429.99;4261.478333;Masculino;Soltero;CPP;Universitaria;No;Si
PER20ISP918494743;420;4;1,000;3;84.99;0;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP829100195;642.69;19;2,500;6;360.78;3318.52;Masculino;Soltero;CPP;Universitaria;Si;No
PER20ISP690426779;445.31;3;1,000;3;84.99;1781.255;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP252374512;1,213.03;12;3,000;6;429.99;5007.642;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP025592673;468.57;61;1,000;3;91.9;1874.273333;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP966592754;552.11;36;1,500;6;221.53;2288.556667;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP887701480;495.49;28;2,500;6;438.19;2567.611667;Masculino;Soltero;CPP;Universitaria;Si;No
PER20ISP352517330;432.01;30;2,000;6;375.18;1952.44;Masculino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP396972401;672.73;79;2,500;6;360.78;3269.415;Masculino;Casado;NORMAL;Técnica;Si;Si
PER20ISP431093813;740.79;25;5,000;12;1,515.20;5212.265;Masculino;Casado;CPP;Universitaria;No;Si
PER20ISP357915188;1,272.57;76;4,000;6;457.23;4620.158333;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP303969238;1,108.60;7;5,000;12;1,515.20;4224.471667;Femenino;Casado;CPP;Postgrado;No;No
PER20ISP749831464;276.86;9;1,300;6;313.2;3267.28;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP038469564;457.63;26;2,300;6;332.13;1830.5;Femenino;Soltero;NORMAL;Técnica;No;Si
PER20ISP053373037;570.77;77;1,500;6;221.53;2283.085;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP326595598;640.52;12;2,500;6;360.78;2662.25;Masculino;Soltero;NORMAL;Técnica;No;Si
PER20ISP680285272;400.53;26;2,000;6;290.62;1602.125;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP284222829;314.42;17;2,900;12;804.43;1050;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP147297894;638.78;;6,000;12;1,403.78;2143.166667;Femenino;Casado;NORMAL;Técnica;No;No
PER20ISP481768803;432.78;77;2,100;6;304.59;3990.333333;Masculino;Casado;CPP;Técnica;Si;No
PER20ISP774039567;392.46;52;1,900;6;356.42;2717.691667;Masculino;Casado;NORMAL;Técnica;No;Si
PER20ISP756817296;525.63;71;2,000;12;632.87;1758.75;Masculino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP952987192;399;0;2,000;6;375.18;0;Femenino;Casado;NORMAL;Técnica;Si;No
PER20ISP940630453;243.16;39;1,100;6;265.01;1181.25;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP289880966;1,443.38;;8,000;12;1,797.56;4833.658333;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP854386257;394.57;77;1,000;3;84.99;2029.825;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP779997322;541.46;71;2,700;6;473.25;2165.835;Masculino;Casado;NORMAL;Universitaria;Si;No
PER20ISP721041174;1,677.43;39;8,000;12;2,131.81;5613.645;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP018313594;307.39;32;2,800;12;858.83;1050;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP085641979;754.41;;4,200;12;1,091.59;2853.701667;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP835237306;1,391.33;7;7,500;12;1,998.57;5111.92;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP125754812;518.45;44;1,300;3;112.89;2953.435;Masculino;Soltero;CPP;Técnica;Si;No
PER20ISP436994806;717.83;73;5,000;12;1,515.20;2608.258333;Masculino;Soltero;CPP;Universitaria;No;Si
PER20ISP371641468;818.05;12;2,500;6;344.9;2726.83;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP499551299;710.27;36;2,500;6;360.78;3278.666667;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP686319501;400;4;2,000;6;290.75;8247.501667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP297532472;381.15;6;3,500;12;1,073.54;1270.5;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP174196949;1,432.19;4;5,000;12;1,515.20;5413.666667;Masculino;Casado;NORMAL;Universitaria;No;No
PER20ISP949252754;450;3;1,100;3;96.95;2534;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP902766553;497.23;77;1,000;3;84.99;2386.265;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP769164734;504.76;77;1,000;3;88.14;2128.315;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP301941385;443.08;17;2,200;6;304.46;2653.595;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP545705785;535.79;23;1,000;3;88.14;2143.166667;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP324893310;464.12;14;2,000;6;277.51;2562.14;Masculino;Casado;NORMAL;Técnica;Si;No
PER20ISP474270201;509.33;74;2,500;6;360.78;2532.436667;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP012332176;468.57;14;1,000;3;84.99;1874.273333;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP381099724;409.83;14;2,000;6;375.18;1761.375;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP741304295;296.93;10;1,500;6;281.39;1775.783333;Masculino;Soltero;CPP;Universitaria;No;No
PER20ISP853450606;1,205.86;;1,500;4;148.43;5189.491667;Femenino;Casado;NORMAL;Universitaria;No;No
PER20ISP431571129;538.33;79;1,000;3;88.14;2153.328333;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP859845637;963.69;5;1,500;6;221.53;3970.356667;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP917722309;370.24;12;3,000;12;920.18;1358;Masculino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP708397886;420.82;19;1,000;6;152.32;2005;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP133543656;380;15;1,900;6;276.9;5474.158333;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP979451474;290.61;73;1,400;6;337.29;1433.25;Masculino;Soltero;CPP;Secundaria;No;No
PER20ISP022679531;394.19;6;1,000;3;84.99;1576.75;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP654211593;544.69;;800;6;133.15;1818.775;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP414052144;570.93;4;2,900;6;508.3;2342.491667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP302174529;381.47;56;1,900;6;276.78;2025.916667;Femenino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP223238986;467.89;77;1,000;3;84.99;1975.108333;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP689798615;307.14;23;1,500;6;221.43;2600.441667;Masculino;Casado;CPP;Universitaria;Si;No
PER20ISP961836072;942.41;2;2,400;6;346.12;4251.496667;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP970736306;415.99;;2,100;6;307.64;2397.99;Masculino;Soltero;CPP;Universitaria;No;Si
PER20ISP237394824;578.78;47;1,500;6;221.53;2315.133333;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP479806902;567.11;12;1,400;3;120.11;3130.688333;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP475622872;699.82;16;1,500;3;130.42;2922.833333;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP399218465;542.86;77;1,000;3;88.14;2302.626667;Femenino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP066123126;448.86;73;2,000;6;375.18;1944.623333;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP957684875;445.52;0;1,000;3;91.9;1986.833333;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP322509702;871.9;19;1,800;6;263.06;3513.166667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP946151213;632.01;6;500;1;22.82;2546.506667;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP562719412;502.08;17;4,700;12;1,303.73;1750;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP277333098;296.69;19;1,000;6;240.92;1252.125;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP016473862;219.6;15;1,000;6;240.92;1124.375;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP962323035;469.83;76;2,300;6;332.28;2530.97;Femenino;Soltero;NORMAL;Técnica;No;Si
PER20ISP845166098;342.96;77;1,500;6;221.53;1531.25;Masculino;Casado;CPP;Secundaria;Si;No
PER20ISP418814451;607.92;7;2,500;6;360.78;2823.216667;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP689256637;562.82;49;1,000;3;84.99;2366.723333;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP632120036;451.8;20;1,500;6;221.53;2075.161667;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP594856735;346.83;;1,500;6;219.75;1970.418333;Masculino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP132666114;273;26;1,300;6;313.2;1092;Femenino;Casado;NORMAL;Técnica;No;Si
PER20ISP195317803;589.53;79;1,500;6;221.53;2358.125;Femenino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP877509214;276.05;72;1,300;6;313.2;1365;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP639421726;544.59;58;1,000;3;88.14;2178.341667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP885905071;194.04;;900;6;166.08;1689.625;Femenino;Casado;CPP;Técnica;No;No
PER20ISP062283726;343.5;71;1,700;6;318.91;2136.913333;Masculino;Casado;CPP;Técnica;No;No
PER20ISP195300604;375.4;;800;3;74.44;1818.775;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP918196942;220;41;1,000;6;152.32;1649.375;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP542646068;322.17;23;1,500;6;281.39;1818.775;Masculino;Casado;CPP;Universitaria;Si;Si
PER20ISP877769817;307.75;74;1,500;6;221.43;1400.875;Masculino;Soltero;CPP;Universitaria;Si;Si
PER20ISP724627869;704.22;56;1,000;6;144.32;3694.991667;Femenino;Casado;NORMAL;Universitaria;Si;No
PER20ISP372765128;591.3;65;3,000;6;429.99;3990.333333;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP299724110;230;7;1,100;6;265.01;1151.5;Femenino;Soltero;CPP;Técnica;No;No
PER20ISP502937225;369.64;12;1,500;6;221.53;1833.33;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP768025063;331.72;10;1,000;6;152.32;2053.275;Masculino;Casado;NORMAL;Universitaria;No;No
PER20ISP006224525;299.23;22;2,700;12;828.16;1109.5;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP345593033;460.85;50;1,000;6;240.92;2088.45;Masculino;Soltero;CPP;Universitaria;Si;No
PER20ISP229154701;380;5;1,900;6;276.9;3421;Femenino;Soltero;CPP;Universitaria;Si;No
PER20ISP826996459;1,111.09;77;3,000;6;429.99;4444.376667;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP621820731;1,226.21;55;3,000;6;429.99;4904.825;Femenino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP042612669;242.52;11;2,200;12;631.37;2698.931667;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP350974365;704.4;23;3,000;6;429.8;2820.871667;Femenino;Casado;NORMAL;Técnica;No;No
PER20ISP491484957;540.76;62;1,000;3;84.99;2251.818333;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP835374959;330.34;65;1,500;6;221.53;2491.79;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP568819184;413.1;53;1,000;3;88.99;2521.42;Femenino;Soltero;NORMAL;Técnica;Si;Si
PER20ISP124526042;375.27;15;1,500;6;221.53;1597.75;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP265863223;858.27;76;2,500;6;360.78;3433.098333;Masculino;Casado;NORMAL;Técnica;No;No
PER20ISP454429745;289.11;8;1,300;6;313.2;1915.701667;Masculino;Soltero;CPP;Universitaria;No;No
PER20ISP358670159;500;6;2,500;6;344.9;2143.166667;Masculino;Soltero;CPP;Universitaria;Si;No
PER20ISP482514489;2,266.66;13;12,200;6;1,295.14;6476.166667;Masculino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP672563490;175;50;1,500;12;474.65;2509.768333;Masculino;Soltero;DEFICIENTE;Universitaria;No;No
PER20ISP537349483;629.51;44;2,500;5;307.36;2892.785;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP554845685;450.97;49;2,200;6;412.7;2662.193333;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP125950485;330;;500;2;34.87;2997;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP708614570;867.08;73;3,000;6;525.83;3531.308333;Masculino;Casado;NORMAL;Universitaria;No;No
PER20ISP145097741;1,053.33;75;3,000;6;429.99;5112.323333;Femenino;Soltero;NORMAL;Técnica;No;Si
PER20ISP681634275;358.98;82;900;3;78.1;2198;Femenino;Casado;CPP;Técnica;Si;No
PER20ISP425564973;425.51;6;1,100;3;87.5;3278.666667;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP088006472;358.75;11;3,200;12;981.52;1225;Masculino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP413839159;657.93;7;1,000;6;152.32;2631.708333;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP143200501;279.32;21;2,500;12;766.82;1050;Femenino;Casado;NORMAL;Universitaria;No;Si
PER20ISP198332535;597.71;12;1,000;3;84.99;2390.83;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP877243903;555.9;;5,000;12;1,241.66;2139.258333;Masculino;Soltero;NORMAL;Postgrado;No;No
PER20ISP415769144;417.37;25;1,000;3;88.99;2298.718333;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP423444643;351.19;5;1,700;6;237.07;3634.5;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP519096606;721;12;1,200;3;104.92;2400;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP474047990;250;0;1,000;6;152.32;0;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP860756943;1,351.64;;5,300;12;999.46;13931.625;Masculino;Casado;NORMAL;Técnica;No;No
PER20ISP711079533;400;76;2,000;6;277.51;3100.75;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP379078614;516.25;36;1,500;6;221.53;2065;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP227755787;338.9;12;1,200;6;289.11;1470;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP484877479;756.68;6;1,600;8;341.07;2522.275;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP531326866;597.35;79;1,000;3;88.14;2389.391667;Masculino;Casado;NORMAL;Técnica;Si;No
PER20ISP047102272;563.74;70;1,400;3;120.11;2254.945;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP801628590;336;;3,200;12;831.69;1120;Masculino;Soltero;NORMAL;Secundaria;No;No
PER20ISP397874213;3,113.48;77;1,000;6;93.48;8895.653707;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP561302748;404.41;76;2,000;6;277.51;2913.581667;Masculino;Casado;NORMAL;Universitaria;Si;No
PER20ISP434649406;1,849;68;3,000;6;525.83;7396.931667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP160137273;547.26;11;2,700;6;388.46;5413.666667;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP351010611;186.67;69;1,700;12;537.94;2209.608333;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP584362816;559.55;81;1,400;3;120.11;2330.766667;Masculino;Soltero;NORMAL;Secundaria;Si;No
PER20ISP380384631;292.82;12;2,600;12;797.49;1114.75;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP845650163;503.52;12;2,500;6;360.78;3189.92;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP208539719;1,099.12;71;5,000;12;1,088.15;4346.166667;Masculino;Casado;NORMAL;Técnica;No;Si
PER20ISP658790676;334.02;69;2,000;12;573.97;1282.75;Femenino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP574170677;552.12;10;1,300;3;112.14;2541.816667;Femenino;Soltero;NORMAL;Técnica;Si;No
PER20ISP091637879;1,031.01;12;2,500;6;344.9;3605.42808;Masculino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP032004409;353.46;6;1,800;6;263.7;1732.5;Femenino;Soltero;NORMAL;Postgrado;Si;No
PER20ISP511277333;896.61;;3,000;12;755.82;3727.016667;Masculino;Casado;NORMAL;Técnica;No;Si
PER20ISP896820260;250;2;1,200;6;289.11;1279.25;Masculino;Soltero;CPP;Universitaria;Si;Si
PER20ISP875143870;1,953.12;71;2,500;12;568.84;6311.558333;Masculino;Casado;NORMAL;Universitaria;No;No
PER20ISP121145994;585.62;28;1,000;3;84.99;2342.491667;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP468500966;745.83;14;2,000;6;290.75;2983.325;Masculino;Soltero;NORMAL;Universitaria;No;Si
PER20ISP153342038;397.32;1;2,000;6;375.18;1649.375;Masculino;Soltero;CPP;Técnica;Si;Si
PER20ISP188908136;329.72;77;1,500;6;221.53;3765.446667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP414286768;598.13;73;1,500;6;221.43;2392.518333;Masculino;Soltero;NORMAL;Universitaria;No;No
